id,created,updated,title,content,tags,product,topic,locale,answers,creator
1308800,2020-10-16 09:44:56 -0700,2020-10-16 09:44:56 -0700,Défauts typiques rencontés avec Firefox,"<p>Toulouse le 16 octobre 2020. Bonjour, Je rencontre quelques soucis avec l'usage de Firefox 81.0.2. Je suis abonné au journal ""<a href=""http://www.ladepeche.fr"" rel=""nofollow"">www.ladepeche.fr</a>. Je n'arrive plus, depuis 3 mois, à écrire un commentaire ou à lire les commentaires. J'utilise le webmail d'orange, je n'arrive pas à envoyer un fichier joint. Ces défauts n'apparaissent pas avec Microsoft Edge, ou Google Chrome, ou Internet explorer. Thunderbird me permet d'envoyer des fichier joints. Peut-être est-ce dû à la configuration de Firefox? Quelqu'un peut-il me donner une idée en espérant rétablir les fonctions perdues. Je le remercie par avance. </p>",desktop;other;windows-10;firefox-810;,firefox,other,en-US,"",jean-marie.bransoles
1308798,2020-10-16 09:27:11 -0700,2020-10-16 09:27:11 -0700,No camera on my older android laptop to sync with my mac,<p>I have An older android laptop. It has no camera. How do I sync it with my Mac? </p>,desktop;sync;,firefox,sync,en-US,"",space4krap
1308797,2020-10-16 09:23:32 -0700,2020-10-16 09:37:21 -0700,Highlights on New Tab page not showing any Bookmarks,"<p>Hi, I hope someone can help - this is starting to get a little annoying. I'd like my New Tab page to display my Bookmarks in the Highlights section. I only check the setting to show Bookmarks since what I'm looking for is something a bit like Speed Dial. The Highlights section can populate Visited sites just fine, but no bookmarks show up. My bookmarks are saved in the default Other Bookmarks folder. Safe Mode makes no difference. </p><p>This worked when I first set it up, but now the section is blank (again). It seems to happen after PC has been shut down, but I haven't tested that properly. Trying the steps mentioned in this post <a href=""https://support.mozilla.org/en-US/questions/1282646"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1282646</a> did nothing. Last time I fixed it by deleting my bookmarks completely and re-adding them, but that's not really a long-term solution. </p>",desktop;customize;windows-10;firefox-810;firefox-8102;,firefox,customize,en-US,1358629;,ceshen
1308795,2020-10-16 08:56:15 -0700,2020-10-16 08:56:15 -0700,"Primary email address changed, sync doesn't work","<p>I created my Firefox account with an old email address that is no longer accessible and will never be accessible again. I added a secondary email address long ago and made it primary. My account is logged in on my phone and my old laptop, both need repair, laptop data is probably gone. I logged in on my new laptop and a tablet, but had to change the password. Now Firefox does not know my logins and passwords, history, settings and preferences, bookmarks. It seems as if I have created a new account. How can I regain access to my old data? </p>",desktop;sync;windows-10;firefox-810;,firefox,sync,en-US,"",swa26
1308794,2020-10-16 08:54:14 -0700,2020-10-16 08:54:14 -0700,Why does Firefox's Task Manager differ so much from Process Explorer in how much memory its using?,"<p>Sometimes my updated Win7 Firefox stalls when loading websites.  Of course sometimes its the website's fault.  Crosschecking with Process Explorer I noticed something odd.  In Firefox the Task Manager didn't show any great memory use but in Process Explorer it showed huge memory use.  How can there be such a discrepancy and which one is accurate?  I'd trust Process Explorer because the computer slowed down a lot when it showed a lot of memory use and as soon as I had closed a few tabs (not making much of a difference in Firefox's Task Manager but a huge difference in Process Explorer) all was fine.  I'm using a i5 CPU with 16gb DDR3 ram.  In almost every aspect the system is just fine, rarely showing its age.  But I'm diligent in watching for programs running in the background, always checking Services.msc and MSCONFIG for newly installed programs that have elected to run all the time in the background for no sensible reason. </p>",windows-7;desktop;fix-problems;firefox-810;,firefox,fix-problems,en-US,"",moz2u
1308791,2020-10-16 08:44:26 -0700,2020-10-16 08:44:26 -0700,Firefox me ha eliminado toda la lista que tenian en Pocket,"<p>Tenía una lista pocket en mi navegador y estos días Firefox no me dejaba consultarla sin entrar con un correo electronico (cosa que hasta ahora no habia sido necesario, un paso atrás en privacidad) y me ha borrado todo lo que tenía guardado. No se si hay alguna posibilidad de recuperarlo. </p>",mac-os;desktop;bookmarks;firefox-780;,firefox,bookmarks,es,"",amarillentoa
1308789,2020-10-16 08:41:44 -0700,2020-10-16 09:06:59 -0700,"Random tabs are crashing. Always with the ""EXCEPTION_ACCESS_VIOLATION_READ"" warning.","<p>I installed Firefox 6 days ago and since the 1st day, firefox had random tabs that crashed. Today, it happened several times. Even my browser closed itself. </p><p>I have no idea what's causing it. </p><p>I've added a screenshot of all the crash reports that I've send over the past 6 days. Hope this helps. </p><p>Kind Regards, Gunther. </p>",desktop;fix-problems;windows-10;firefox-810;,firefox,fix-problems,en-US,1358613;1358619;,arensgunther
1308787,2020-10-16 08:24:13 -0700,2020-10-16 09:37:26 -0700,Where is the QR Code?,"<p>On this page </p><pre> <a href=""https://support.mozilla.org/en-US/kb/secure-firefox-account-two-step-authentication"" rel=""nofollow"">https://support.mozilla.org/en-US/kb/secure-firefox-account-two-step-authentication</a> </pre> <p>it says </p><pre> 5. Use the app to take a photo of the QR code, or click Can’t Scan Code to display a code to enter into the app.  </pre> <p>But I don't see a QR Code anywhere. What am I missing? </p><p>Thanks. </p>",desktop;privacy-and-security_1;windows-10;firefox-810;,firefox,privacy-and-security,en-US,1358624;1358630;,rstoeck
1308784,2020-10-16 07:55:35 -0700,2020-10-16 07:55:35 -0700,When i try to sign in i get an error,"<p>So i tried to sign in to the extensions store and i get this error ""Invalid parameter: state"" </p><p>i don't know what does that error mean please help </p>",desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,"",foro88726
1308780,2020-10-16 07:30:47 -0700,2020-10-16 09:49:12 -0700,Does Syncing mitigate the risk of having a corrupt database file?,"<p>Hello </p><p>as most FF users, I've run into the issue of having a corrupt places or cookies database file several times in the last 15 years of usage. </p><p>I would like to know if Syncing can mitigate the risk of having a corrupt database file ever again? In other words, do FF servers recognize a corrupt file if received from my device? And would it help replacing it with the last intact file received? </p>",desktop;sync;windows-10;firefox-810;,firefox,sync,en-US,1358636;,berroz
1308779,2020-10-16 07:23:49 -0700,2020-10-16 09:02:22 -0700,sync from mac to pc without camera,<p>How can I sync to a laptop that doesn't have a camera? </p>,mac-os;desktop;sync;firefox-810;,firefox,sync,en-US,1358615;,space4krap
